_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	pam_cluster	medoid
destroy.bound3-3lex.PPMIno.LENGTH5000.SOCPOSnav	1.9620695310101428	0.03786196772202235	NA	NA	TRUE	BOW	no	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTHFOC.SOCPOSall	1.674558786507561	0.12004631352629201	NA	NA	TRUE	BOW	no	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTHFOC.SOCPOSnav	1.653266118286581	0.11819641481194715	NA	NA	TRUE	BOW	no	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIselection.LENGTH5000.SOCPOSall	1.362833137626363	-0.15205084195293084	NA	NA	TRUE	BOW	selection	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIselection.LENGTH5000.SOCPOSnav	1.335969574108053	-0.1398915672381128	NA	NA	TRUE	BOW	selection	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	1.0193884881151558	-0.06571728167753814	NA	NA	TRUE	BOW	selection	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.9721291303256947	-0.07723010049290784	NA	NA	TRUE	BOW	selection	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIweight.LENGTH5000.SOCPOSall	1.203789115880756	-0.1032402514970047	NA	NA	TRUE	BOW	weight	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIweight.LENGTH5000.SOCPOSnav	1.1834922161517119	-0.09356616662926309	NA	NA	TRUE	BOW	weight	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIweight.LENGTHFOC.SOCPOSall	1.0290480935876907	-0.06378910038170488	NA	NA	TRUE	BOW	weight	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.9787953762432421	-0.07927637022288817	NA	NA	TRUE	BOW	weight	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIno.LENGTH5000.SOCPOSall	0.3060064090583724	-1.8396922934050044	NA	NA	TRUE	BOW	no	all	5-5	5000	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIno.LENGTH5000.SOCPOSnav	0.28631572133244865	-1.665334403600382	NA	NA	TRUE	BOW	no	all	5-5	5000	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall	0.3022126642113787	-1.044661170501427	NA	NA	TRUE	BOW	no	all	5-5	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSnav	0.28383437787416793	-0.8741482838798809	NA	NA	TRUE	BOW	no	all	5-5	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIselection.LENGTH5000.SOCPOSall	0.35731136769347327	-1.1124802487396719	NA	NA	TRUE	BOW	selection	all	5-5	5000	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIselection.LENGTH5000.SOCPOSnav	0.32890307105122607	-1.074804363946445	NA	NA	TRUE	BOW	selection	all	5-5	5000	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSall	0.2857971615548119	-0.4538441715826966	NA	NA	TRUE	BOW	selection	all	5-5	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.2613517133501625	-0.42153858442861875	NA	NA	TRUE	BOW	selection	all	5-5	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIweight.LENGTH5000.SOCPOSall	0.3021087406171918	-0.15020012946797698	NA	NA	TRUE	BOW	weight	all	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIweight.LENGTH5000.SOCPOSnav	0.3089674042833067	-0.17274046772103913	NA	NA	TRUE	BOW	weight	all	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIweight.LENGTHFOC.SOCPOSall	0.2515228919740487	0.0219427268918152	NA	NA	TRUE	BOW	weight	all	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.23939966765197443	0.021102371813185933	NA	NA	TRUE	BOW	weight	all	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIno.LENGTH5000.SOCPOSall	1.3457300458556252	0.6894749631570585	NA	NA	TRUE	BOW	no	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIno.LENGTH5000.SOCPOSnav	1.2666820934355685	0.629126990590409	NA	NA	TRUE	BOW	no	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIno.LENGTHFOC.SOCPOSall	0.9548906117090649	0.5558940762267504	NA	NA	TRUE	BOW	no	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.9223396241851242	0.5610038959851411	NA	NA	TRUE	BOW	no	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall	0.9030065362383811	0.3138718066973923	NA	NA	TRUE	BOW	selection	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.8709414134168209	0.3071402891904463	NA	NA	TRUE	BOW	selection	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.6106634488594709	0.2684464253832132	NA	NA	TRUE	BOW	selection	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.593791561051727	0.26948229871846896	NA	NA	TRUE	BOW	selection	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIweight.LENGTH5000.SOCPOSall	0.6625492528929875	0.29026492855497676	NA	NA	TRUE	BOW	weight	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.6654028935001977	0.29373346028377867	NA	NA	TRUE	BOW	weight	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.5308742759742187	0.3294585852982676	NA	NA	TRUE	BOW	weight	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound5-5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.512003136108019	0.3294182326685578	NA	NA	TRUE	BOW	weight	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIno.LENGTH5000.SOCPOSall	-1.5510218426211984	2.213508072765111	NA	NA	FALSE	BOW	no	all	10-10	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIno.LENGTH5000.SOCPOSnav	-1.3925211753805415	1.9656286306185553	NA	NA	FALSE	BOW	no	all	10-10	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSall	-1.1368866600887853	1.8805768378288727	NA	NA	FALSE	BOW	no	all	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.0900656910736704	1.7901778209793882	NA	NA	FALSE	BOW	no	all	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSall	-0.9870099037055048	1.335569485904763	NA	NA	FALSE	BOW	selection	all	10-10	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.9324781092702005	1.226726594957532	NA	NA	FALSE	BOW	selection	all	10-10	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.7318636200686544	1.1957129494927126	NA	NA	FALSE	BOW	selection	all	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7356857092469341	1.179488095211529	NA	NA	FALSE	BOW	selection	all	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSall	-0.5083980596190533	0.9279061878067812	NA	NA	FALSE	BOW	weight	all	10-10	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.5025619075837826	0.9087869191855058	NA	NA	FALSE	BOW	weight	all	10-10	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4850715635273141	0.9900624027620614	NA	NA	FALSE	BOW	weight	all	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.49534301959569743	1.006352755190817	NA	NA	FALSE	BOW	weight	all	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSall	-0.015216404789496877	2.3066939913782414	NA	NA	FALSE	BOW	no	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	0.014243535150326732	2.100756843829093	NA	NA	FALSE	BOW	no	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.0652802951046649	1.946690361183612	NA	NA	FALSE	BOW	no	lex	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.07146752879236429	1.9434628270568381	NA	NA	FALSE	BOW	no	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	0.09248511671889549	1.6853884748804893	NA	NA	FALSE	BOW	selection	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.08237501824595375	1.5563633107216868	NA	NA	FALSE	BOW	selection	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.0634746010331583	1.4765011934124028	NA	NA	FALSE	BOW	selection	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0826403543870101	1.501860510518175	NA	NA	FALSE	BOW	selection	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.05519110274596235	1.2513989392361313	NA	NA	FALSE	BOW	weight	lex	10-10	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.04372470788834554	1.2434232307145516	NA	NA	FALSE	BOW	weight	lex	10-10	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.14311305940157415	1.2978410024950813	NA	NA	FALSE	BOW	weight	lex	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15809986999948494	1.3177286358852138	NA	NA	FALSE	BOW	weight	lex	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound3-3all.PPMIno.LENGTH5000.SOCPOSall	1.5005398448971976	-1.738395862297077	NA	NA	FALSE	BOW	no	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIno.LENGTH5000.SOCPOSnav	1.3570691941939705	-1.6774574251151828	NA	NA	FALSE	BOW	no	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSall	1.3824867393454794	-1.1308368214399696	NA	NA	FALSE	BOW	no	all	3-3	FOC	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSnav	1.2601423289325104	-1.0877409875409874	NA	NA	FALSE	BOW	no	all	3-3	FOC	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSall	1.3849827754987023	-1.3641368975509003	NA	NA	FALSE	BOW	selection	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav	1.2949271989860907	-1.3792956744215434	NA	NA	FALSE	BOW	selection	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	1.2192849535947001	-0.8888416226583022	NA	NA	FALSE	BOW	selection	all	3-3	FOC	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSnav	1.1373365526711476	-0.8760941656327883	NA	NA	FALSE	BOW	selection	all	3-3	FOC	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSall	1.196378394516672	-0.5022327606104278	NA	NA	FALSE	BOW	weight	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSnav	1.2044414343833412	-0.5416341670635035	NA	NA	FALSE	BOW	weight	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSall	1.0339662579684394	-0.3403962049699749	NA	NA	FALSE	BOW	weight	all	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSnav	1.0188713872567854	-0.36302032826380704	NA	NA	FALSE	BOW	weight	all	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSall	2.0714654630340563	0.24850778372729393	NA	NA	FALSE	BOW	no	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSnav	2.007039989162185	0.24113073214511876	NA	NA	FALSE	BOW	no	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSall	1.6915792776126999	0.31499148628893936	NA	NA	FALSE	BOW	no	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSnav	1.65798595771627	0.3162463656314145	NA	NA	FALSE	BOW	no	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSall	1.5955047898982178	-0.009215072979284228	NA	NA	FALSE	BOW	selection	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSnav	1.539747786012702	-0.0014217147720151154	NA	NA	FALSE	BOW	selection	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall	1.1939765605962611	0.06909080842337305	NA	NA	FALSE	BOW	selection	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSnav	1.166999924424049	0.07765769704757075	NA	NA	FALSE	BOW	selection	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSall	1.3762896146064998	0.058608489454318374	NA	NA	FALSE	BOW	weight	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSnav	1.3627727765673385	0.06181906400288756	NA	NA	FALSE	BOW	weight	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSall	1.2174751756821156	0.1205507282421205	NA	NA	FALSE	BOW	weight	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSnav	1.1754132179587862	0.1091605795745979	NA	NA	FALSE	BOW	weight	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIno.LENGTH5000.SOCPOSall	0.4300883164732869	-2.089201627209157	NA	NA	FALSE	BOW	no	all	5-5	5000	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIno.LENGTH5000.SOCPOSnav	0.3947053676682511	-1.834843005499366	NA	NA	FALSE	BOW	no	all	5-5	5000	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSall	0.6495525975644709	1.3673253352622299	NA	NA	FALSE	BOW	no	all	5-5	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSnav	0.5624969807917144	1.2100925749848568	NA	NA	FALSE	BOW	no	all	5-5	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSall	0.4636379037277781	-1.1527852562164294	NA	NA	FALSE	BOW	selection	all	5-5	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSnav	0.4281701053155933	-1.0043494644272597	NA	NA	FALSE	BOW	selection	all	5-5	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSall	0.3244641979906254	-0.24131024713755916	NA	NA	FALSE	BOW	selection	all	5-5	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.2600219545378742	-0.09505586239928812	NA	NA	FALSE	BOW	selection	all	5-5	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSall	0.3492133953410355	0.08983019304931718	NA	NA	FALSE	BOW	weight	all	5-5	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSnav	0.3597495964216544	0.061284707352327286	NA	NA	FALSE	BOW	weight	all	5-5	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSall	0.28324417152103415	0.22010001496500056	NA	NA	FALSE	BOW	weight	all	5-5	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.2632558699909012	0.2382218841252791	NA	NA	FALSE	BOW	weight	all	5-5	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSall	1.3929509985329696	1.1215179039771237	NA	NA	FALSE	BOW	no	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSnav	1.297580971105159	1.0313641411701986	NA	NA	FALSE	BOW	no	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSall	1.002632840128686	0.9477282649523683	NA	NA	FALSE	BOW	no	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.9733684257857219	0.9411618446662643	NA	NA	FALSE	BOW	no	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSall	1.1754320582186917	0.7879196491700214	NA	NA	FALSE	BOW	selection	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSnav	1.11013093805753	0.7210086105519468	NA	NA	FALSE	BOW	selection	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.7782956623114194	0.6294481445576291	NA	NA	FALSE	BOW	selection	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.7515824093393563	0.6499282629096105	NA	NA	FALSE	BOW	selection	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSall	0.8384392162119922	0.6302942233648613	NA	NA	FALSE	BOW	weight	lex	5-5	5000	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.8380265156280046	0.6238727216061574	NA	NA	FALSE	BOW	weight	lex	5-5	5000	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.6711253384341692	0.6123176939515513	NA	NA	FALSE	BOW	weight	lex	5-5	FOC	all	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.6596632749138085	0.6403539523456337	NA	NA	FALSE	BOW	weight	lex	5-5	FOC	nav	8	destroy.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall
